Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
EID-Parry (India) Limited,Sugar,40,50,72,55,Adequate,Mar-22,Environment,Unknown,,0.0,40.5
EIH Limited,Hotels,43,49,62,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
Elantas Beck India Limited,Chemicals - Speciality Chemicals,14,31,66,39,Weak,Dec-22,Environment/Social,Unknown,,0.0,27.75
Elecon Engineering Company Limited,Industrials,28,35,64,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Electrosteel Castings Limited,Metals Ferrous,30,58,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Elgi Equipments Limited,Industrials,40,39,64,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Emami Limited,FMCG,46,58,63,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Emami Paper Mills Limited,Paper,38,52,65,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
Embassy Office Parks Reit,REIT,46,47,58,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.75
Emudhra Limited,IT,42,52,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Endurance Technologies Limited,Auto Ancillary,29,35,67,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.75
Engineers India Limited,Construction EPC,36,58,57,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.75
Entertainment Network (India) Limited,Media,38,47,64,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.25
EPIGRAL Limited,Commodity Chemicals,23,52,72,50,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
EPL Limited,Industrials,56,45,66,57,Adequate,Mar-22,Social,Unknown,,0.0,41.75
Equitas Small Finance Bank Limited,Banks,53,60,78,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.75
ERIS Lifesciences Limited,Pharmaceuticals,25,45,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.5
Esab India Limited,Industrials,27,37,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Escorts Kubota Limited,Auto OEM,44,53,59,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Eureka Forbes Limited,Consumer Retail,31,41,67,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Eveready Industries India Limited,Batteries,24,43,63,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.5
Everest Industries Limited,Other Construction Material,31,55,74,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Everest Kanto Cylinder Limited,Industrials,28,36,75,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Excel Industries Limited,Chemicals - Speciality Chemicals,38,55,59,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Exide Industries Limited,Batteries,47,57,71,59,Adequate,Mar-22,Environment,Unknown,,0.0,43.75
EXIM Bank,Financial Institution,62,47,43,51,Adequate,Mar-23,Social/Governance,Unknown,,0.0,38.0
Expleo Solutions Limited,IT,49,59,70,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.5
FDC Limited,Pharmaceuticals,27,47,71,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.25
Federal-Mogul Goetze India Limited,Auto Ancillary,26,34,69,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Fertilisers And Chemicals Travancore Limited,Chemicals - Fertilizers,35,45,57,46,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.25
Fiem Industries Limited,Auto Ancillary,24,34,68,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.5
Fine Organic Industries Limited,Chemicals - Speciality Chemicals,33,62,70,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Fineotex Chemical Limited,Chemicals - Speciality Chemicals,25,48,68,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
FINO Payments Bank Limited,Financial Services (capital markets),37,46,76,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.75
Finolex Cables Limited,Durables & Electricals,27,34,58,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.75
Finolex Industries Limited,Plastic Products - Pipes,41,62,66,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Firstsource Solutions Limited,IT,63,65,69,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.25
Five-Star Business Finance Limited,NBFC,50,57,69,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
Food Corporation of India,Logistics,24,29,42,32,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,23.75
Force Motors Limited,Auto OEM,28,58,64,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Fortis Healthcare Limited,Healthcare,39,63,70,57,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,50,47,69,57,Adequate,Mar-23,Social,Unknown,,0.0,41.5
Fusion Micro Finance Limited,NBFC,51,67,69,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.75
G R Infraprojects Limited,Construction EPC,35,57,67,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Gabriel India Limited,Auto Ancillary,25,32,68,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Gail India Limited,Oil & Gas - Gas,48,65,58,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Galaxy Surfactants Limited,Chemicals - Speciality Chemicals,50,55,66,57,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,42.75
Gallantt Ispat Limited,Metals - Ferrous,27,57,66,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Ganesh Housing Corporation Limited,Real Estate,26,38,62,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,31.5
Ganesha Ecosphere Limited,Textiles,31,55,64,CRISIL ESG 50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Garden Reach Shipbuilders and Engineers Limited,Shipbuilding,27,43,60,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.5
Garware Hi-Tech Films Limited,Chemicals - Bulk & Polymers,19,28,66,40,Below Average,Mar-22,Environment/Social,Unknown,,0.0,28.25
Garware Technical Fibres Limited,Textiles,41,57,64,CRISIL ESG 54,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Gateway Distriparks Limited,Logistics,35,46,65,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.5
GE Power India Limited,Heavy Electrical Equipment,44,55,63,CRISIL ESG 54,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
GE T&D India Limited,Heavy Electrical Equipment,39,54,70,CRISIL ESG 55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
General Insurance Corporation of India,Insurance,42,67,64,57,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Genesys International Corporation Limited,IT,37,63,69,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Genus Power Infrastructures Limited,Other Electrical Equipment,42,61,62,CRISIL ESG 55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Geojit Financial Services Limited,Financial Services (Capital Market),50,53,70,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.25
GFL Limited,Holding company,38,38,60,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
GHCL Limited,Commodity Chemicals,27,52,74,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
GIC Housing Finance Limited,NBFC,46,55,64,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Gillette India Limited,FMCG,47,55,65,56,Adequate,Jun-23,Environment,Unknown,,0.0,41.75
Gland Pharma Limited,Pharmaceuticals,35,56,71,55,Adequate,Mar-22,Environment,Unknown,,0.0,40.5
Glaxo Smithkline Pharmaceuticals Limited,Pharmaceuticals,58,61,71,64,Strong,Mar-22,All sectors adequate,Unknown,,0.0,47.5
Glenmark Life Sciences Limited,Pharmaceuticals,32,47,67,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.5
Glenmark Pharmaceuticals Limited,Pharmaceuticals,60,60,63,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,45.75
Global Health Limited,Healthcare,37,57,65,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Globus Spirits Limited,FMCG,35,43,70,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.0
GMM Pfaudler Limited,Industrials,39,49,71,55,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.75
GNA Axles Limited,Auto Ancillary,24,33,59,40,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.0
Go Fashion (India) Limited,Consumer Retail,27,48,67,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
GOCL Corporation Limited,Chemicals - Speciality Chemicals,16,38,74,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.0
Godawari Power and Ispat Limited,Metals - Ferrous,26,55,66,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Godfrey Phillips India Limited,FMCG,49,37,60,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,36.5
Godrej Agrovet Limited,FMCG,46,47,67,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.0
Godrej Consumer Products Limited,FMCG,44,45,73,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.5
Godrej Industries Limited,Diversified,50,39,66,54,Adequate,Mar-22,Social,Unknown,,0.0,38.75
Godrej Properties Limited,Real Estate,56,54,68,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.5
Gokaldas Exports Limited,Textiles,37,62,68,CRISIL ESG 56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Goldiam International Limited,Consumer Retail,29,41,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
Goodyear India Limited,Tyre,40,59,72,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Granules India Limited,Pharmaceuticals,35,47,71,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
Graphite India Limited,Metals - Linked Products,23,35,63,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Grasim Industries Limited,Diversified,46,50,71,57,Adequate,Mar-22,Environment,Unknown,,0.0,41.75
Grauer and Weil India Limited,Commodity Chemicals,32,36,64,46,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.0
Gravita India Limited,Metals - Non-Ferrous,29,60,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
Greaves Cotton Limited,Industrials,29,40,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Greenlam Industries Limited,Plywood Board,37,54,69,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Greenpanel Industries Limited,Plywood Board,33,51,70,53,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
Greenply Industries Limited,Plywood Board,32,57,64,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Grindwell Norton Limited,Industrials,28,39,70,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
GTL Infrastructure Limited,Telecom,37,54,63,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
GTPL Hathway Limited,Media,37,41,64,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Gufic Biosciences Limited,Pharmaceuticals,26,47,71,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.0
Gujarat Alkalies and Chemicals Limited,Commodity Chemicals,32,58,69,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Gujarat Ambuja Exports Limited,Agri Commodities,37,54,69,54,Adequate,Mar-22,Environment,Unknown,,0.0,40.0
Gujarat Fluorochemicals Limited,Chemicals - Speciality Chemicals,33,51,63,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Gujarat Gas Limited,Oil & Gas - Gas,43,62,66,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Gujarat Industries Power Company Limited,Power Thermal,31,44,64,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.75
Gujarat Mineral Development Corporation Limited,Mining,27,49,71,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.75
Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodity Chemicals,28,51,68,50,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Gujarat Pipavav Port Limited,Port & Port services,34,59,69,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Gujarat State Fertilizers and Chemicals Limited,Chemicals - Fertilizers,42,54,67,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
Gujarat State Petronet Limited,Oil & Gas - Gas,40,53,63,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Gulf Oil Lubricants India Limited,Lubricants,44,57,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Gulshan Polyols Limited,Chemicals - Bulk & Polymers,19,29,67,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,28.75
H.G. Infra Engineering Limited,Construction EPC,33,61,67,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Happiest Minds Technologies Limited,IT,54,70,73,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.25
Harsha Engineers International Limited,Industrials,28,33,60,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Hathway Cable and Datacom Limited,Media,37,40,64,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Hatsun Agro Product Limited,FMCG,38,50,62,51,Adequate,Mar-23,Environment,Unknown,,0.0,37.5
Havells India Limited,Durables & Electricals,53,66,72,64,Strong,Mar-22,All sectors adequate,Unknown,,0.0,47.75
Hawkins Cookers Limited,Consumer Retail,31,43,63,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
HBL Power Systems Limited,Batteries,24,34,58,40,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.0
HCL Technologies Limited,IT,73,66,74,72,Leadership,Mar-23,All sectors adequate,Uttar Pradesh,,60.0,68.25
HDB Financial Services Limited,NBFC,46,47,71,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,41.0
HDFC Asset Management Company Limited,Financial Services (Capital Market),60,66,70,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.0
HDFC Bank Limited,Banks,68,61,79,71,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,69.5
HDFC Credila Financial Services Limited,NBFC,50,46,68,56,Adequate,Mar-23,Social,Unknown,,0.0,41.0
HDFC Life Insurance Company Limited,Insurance,52,56,69,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.25
HDFC Securities Limited,Financial Services (Capital Market),35,33,61,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.25
Healthcare Global Enterprises Limited,Healthcare,48,62,67,59,Adequate,Mar-23,Environment,Unknown,,0.0,44.25
HEG Limited,Metals - Linked Products,22,36,68,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.5
Heidelberg Cement India Limited,Cement,35,55,70,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Hemisphere Properties India Limited,Real Estate,24,45,61,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.5
Heranba Industries Limited,Chemicals - Speciality Chemicals,28,50,70,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
Heritage Foods Limited,FMCG,46,52,70,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Hero FinCorp Limited,NBFC,45,44,64,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
Hero Motocorp Limited,Auto OEM,49,63,64,59,Adequate,Mar-23,Environment,Unknown,,0.0,44.0
Hester Biosciences Limited,Pharmaceuticals,26,42,65,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
HFCL Limited,Telecom,40,54,63,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
Hikal Limited,Chemicals - Speciality Chemicals,24,42,61,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
HIL Limited,Other Construction Material,38,61,66,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Himadri Speciality Chemical Limited,Commodity Chemicals,41,52,69,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Himatsingka Seide Limited,Textiles,28,49,63,CRISIL ESG 47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.0
Hindalco Industries Limited,Metals - Non-Ferrous,36,57,68,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Hinduja Global Solutions Limited,IT,39,44,67,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.5
Hinduja Leyland Finance Limited,NBFC,45,37,64,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,36.5
Hindustan Aeronautics Limited,Industrials,46,60,58,54,Adequate,Mar-22,Environment,Unknown,,0.0,41.0
Hindustan Construction Company Limited,Construction EPC,35,36,60,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.75
Hindustan Copper Limited,Metals - Non-Ferrous,24,56,54,44,Below Average,Mar-23,Environment,Unknown,,0.0,33.5
Hindustan Foods Limited,FMCG,45,51,71,57,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Hindustan Oil Exploration Co. Limited,Oil & Gas - Exploration & Production,28,41,74,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.75
Hindustan Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,42,58,56,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Hindustan Unilever Limited,FMCG,54,62,70,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Hindustan Zinc Limited,Metals - Non-Ferrous,45,59,62,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Hindware Home Innovation Limited,Sanitary ware and Ceramics,24,28,68,43,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.0
Hitachi Energy India Limited,Heavy Electrical Equipment,39,62,68,CRISIL ESG 56,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
HLE Glasscoat Limited,Industrials,27,37,73,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
HMT Limited,Industrials,26,33,46,36,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,26.25
Home First Finance Company India Limited,NBFC,51,61,74,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Honda Siel Power Products Limited,Industrials,29,39,65,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Honeywell Automation India Limited,Industrials,29,39,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.5
Housing and Urban Development Corporation Limited,Financial Institution,53,58,59,56,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,42.5
Huhtamaki India Limited,Paper,26,43,69,48,Adequate,Dec-21,Environment/Social,Unknown,,0.0,34.5
ICICI Bank Limited,Banks,63,61,77,68,Strong,Mar-23,All sectors adequate,Maharashtra,,70.0,67.75
ICICI Home Finance Company Limited,NBFC,46,41,64,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.75
ICICI Lombard General Insurance Company Limited,Insurance,50,56,77,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.75
ICICI Prudential Life Insurance Company Limited,Insurance,51,58,71,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.0
ICICI Securities Limited,Financial Services (Capital Market),61,63,75,67,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.75
Icra Limited,Financial Services (Rating Agencies),36,42,75,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
IDBI Bank Limited,Banks,53,62,70,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.25
IDFC FIRST Bank Limited,Banks,64,56,77,67,Strong,Mar-23,All sectors adequate,Maharashtra,,70.0,66.75
IDFC Limited,Holding company,53,48,71,59,Adequate,Mar-22,Social,Unknown,,0.0,43.0
IFB Industries Limited,Durables & Electricals,27,36,64,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
IFCI Limited,Financial Institution ,44,46,50,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.0
Ifgl Refractories Limited,Industrials,27,36,70,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Igarashi Motors India Limited,Auto Ancillary,25,35,66,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.5
IIFL Finance Limited,NBFC,57,62,64,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.75
IIFL Home Finance Limited,NBFC,59,53,67,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,44.75
IIFL Securities Limited,Financial Services (Capital Market),49,56,71,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.0
India Glycols Limited,Commodity Chemicals,35,54,60,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
India Grid Trust,Power T&D,34,22,66,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.5
India Infradebt Limited,NBFC,52,41,70,57,Adequate,Mar-23,Social,Unknown,,0.0,40.75
India Pesticides Limited,Chemicals - Speciality Chemicals,29,51,62,48,Below Average,Mar-23,Environment,Unknown,,0.0,35.5
India Tourism Development Corporation Limited,Hotels,33,46,61,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.0
Indiabulls Commercial Credit Limited,NBFC,47,38,64,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.25
Indiabulls Housing Finance Limited,NBFC,55,54,67,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
Indiabulls Real Estate Limited,Real Estate,28,46,69,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.75
Indiamart Intermesh Limited,Internet & Catalogue Retail,45,62,67,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.5
Indian Bank,Banks,55,64,60,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.75
Indian Energy Exchange Limited,Financial Services (capital markets),48,48,68,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,41.0
Indian Metals and Ferro Alloys Limited,Metals - Ferrous,21,49,62,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.0
Indian Oil Corporation Limited,Oil & Gas - Refining & Marketing,49,58,58,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Indian Overseas Bank,Banks,54,63,58,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.75
Indian Railway Catering and Tourism Corporation Limited,Tour and travel-related services,44,59,64,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Indian Railway Finance Corporation Limited,Financial Institution ,56,54,58,56,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,42.0
Indian Renewable Energy Development Agency Limited,Financial Institution,66,47,59,59,Adequate,Mar-23,Social,Unknown,,0.0,43.0
Indigo Paints Limited,Paints,53,48,69,58,Adequate,Mar-23,Social,Unknown,,0.0,42.5
IndInfravit Trust,InvIT,24,24,56,37,Below Average,Mar-22,Environment/Social,Unknown,,0.0,26.0
Indo Count Industries Limited,Textiles,38,50,65,CRISIL ESG 52,Adequate,Mar-22,Environment,Unknown,,0.0,38.25
Indo Rama Synthetics (India) Limited,Textiles,29,57,65,CRISIL ESG 50,Below Average,Mar-22,Environment,Unknown,,0.0,37.75
Indoco Remedies Limited,Pharmaceuticals,29,52,68,50,Adequate,Mar-22,Environment,Unknown,,0.0,37.25
IndoStar Capital Finance Limited,NBFC,44,43,63,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.5
Indraprastha Gas Limited,Oil & Gas - Gas,43,64,65,57,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
Indus Towers Limited,Telecom,46,58,62,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
IndusInd Bank Limited,Banks,64,55,71,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Infibeam Avenues Limited,Internet,37,44,58,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Info Edge (India) Limited,Internet & Catalogue Retail,54,62,74,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Infobeans Technologies Limited,IT,47,52,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Infosys Limited,IT,78,69,81,77,Leadership,Mar-23,All sectors adequate,Karnataka,,72.0,75.0
Ingersoll Rand India Limited,Industrials,30,42,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Inox Wind Energy Limited,Heavy Engineering,26,34,57,40,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.25
Inox Wind Limited,"Power Renewable (Solar, Wind)",39,37,61,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Insecticides (India) Limited,Chemicals - Speciality Chemicals,31,51,70,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Intellect Design Arena Limited,IT,56,49,66,58,Adequate,Mar-23,Social,Unknown,,0.0,42.75
Interglobe Aviation Limited,Airlines,43,56,65,55,Adequate,Mar-22,Environment,Unknown,,0.0,41.0
IOL Chemicals and Pharmaceuticals Limited,Pharmaceuticals,34,47,66,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.75
ION Exchange India Limited,Water and Waste Management,28,30,58,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.0
IPCA Laboratories Limited,Pharmaceuticals,27,44,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
IRB Infrastructure Developers Limited,Construction EPC,42,67,61,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Ircon International Limited,Construction EPC,34,56,64,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
ISGEC Heavy Engineering Limited,Construction EPC,34,53,63,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.5
Ismt Limited,Metals - Ferrous,32,56,67,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
ITC Limited,Diversified,57,55,68,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,45.0
ITD Cementation India Limited,Construction EPC,35,60,71,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
ITI Limited,Telecom,34,58,56,49,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
J B Chemicals and Pharmaceuticals Limited,Pharmaceuticals,51,61,70,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,45.5
J. Kumar Infraprojects Limited,Construction EPC,25,59,65,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Jagran Prakashan Limited,Media,39,41,59,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Jagsonpal Pharmaceuticals Limited,Pharmaceuticals,23,37,61,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Jai Corp Limited,Industrials,28,35,62,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Jain Irrigation Systems Limited,Plastic Products - Pipes,41,54,61,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Jaiprakash Associates Limited,Construction EPC,27,53,57,45,Below Average,Mar-23,Environment,Unknown,,0.0,34.25
Jaiprakash Power Ventures Limited,Power Thermal,35,50,64,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Jamna Auto Industries Limited,Auto Ancillary,25,37,70,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Jamnagar Utilities and Power Private Limited,Power Thermal,13,22,58,33,Weak,Mar-23,Environment/Social,Unknown,,0.0,23.25
Jayaswal Neco Industries Limited,Metals - Ferrous,30,57,56,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.75
JBM Auto Limited,Auto Ancillary,25,32,64,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Jindal Poly Films Limited,Chemicals - Bulk & Polymers,18,34,69,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
