Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
Antony Waste Handling Cell Limited,Water and Waste Management,32,45,65,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Anupam Rasayan India Limited,Chemicals - Speciality Chemicals,38,45,74,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.25
Apar Industries Limited,Other Electrical Equipment,53,59,68,CRISIL ESG 60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.0
Apcotex Industries Limited,Chemicals - Speciality Chemicals,36,63,72,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Apex Frozen Foods Limited,FMCG,41,54,66,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
APL Apollo Tubes Limited,Metals - Linked Products,43,58,71,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
Apollo Hospitals Enterprise Limited,Healthcare,53,67,70,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Apollo Pipes Limited,Plastic Products - Pipes,42,53,67,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.5
Apollo Tyres Limited,Tyre,47,59,66,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
Aptus Value Housing Finance India Limited,NBFC,46,56,67,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Archean Chemical Industries Limited,Commodity Chemicals,20,50,65,46,Below Average,Mar-23,Environment,Unknown,,0.0,33.75
Arvind Fashions Limited,Consumer Retail,34,41,65,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Arvind Limited,Textiles,46,57,70,CRISIL ESG 58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Arvind Smartspaces Limited,Real Estate,34,51,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,37.5
Asahi India Glass Limited,Industrials,28,36,63,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Ashiana Housing Limited,Real Estate,34,48,60,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.5
Ashok Leyland Limited,Auto OEM,46,56,70,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
Ashoka Buildcon Limited,Construction EPC,35,58,63,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
Asian Paints Limited,Paints,58,60,77,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.75
Asian Star Company Limited,Consumer Retail,30,41,64,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Astec Lifesciences Limited,Chemicals - Speciality Chemicals,37,64,67,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Aster DM Healthcare Limited,Healthcare,59,67,64,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Astra Microwave Products Limited,Industrials,26,40,71,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Astral Limited,Plastic Products - Pipes,47,52,66,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Astrazeneca Pharma India Limited,Pharmaceuticals,29,52,69,51,Adequate,Mar-22,Environment,Unknown,,0.0,37.5
Atul Limited,Chemicals - Speciality Chemicals,32,47,65,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
AU Small Finance Bank Limited,Banks,61,61,79,68,Strong,Mar-23,All sectors adequate,Rajasthan,,60.0,65.25
Aurobindo Pharma Limited,Pharmaceuticals,47,57,67,57,Adequate,Mar-22,Environment,Unknown,,0.0,42.75
Automotive Axles Limited,Auto Ancillary,27,36,69,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Avadh Sugar & Energy Limited,Sugar,31,41,65,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Avalon Technologies Limited,Other Electrical Equipment,24,30,58,CRISIL ESG 39,Weak,Mar-23,Environment/Social,Unknown,,0.0,28.0
Avanti Feeds Limited,FMCG,39,49,67,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.75
Avenue Supermarts Limited,Retailing (Diversified Retail),50,65,69,CRISIL ESG 61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.0
Axis Bank Limited,Banks,70,61,77,71,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,69.5
Axis Finance Limited,NBFC,49,39,58,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.5
Bahadur Chand Investments Private Limited,Holding company,47,53,46,48,Adequate,Mar-22,Environment/Governance,Unknown,,0.0,36.5
Bajaj Auto Limited,Auto OEM,47,63,68,59,Adequate,Mar-23,Environment,Unknown,,0.0,44.5
Bajaj Consumer Care Limited,FMCG,46,58,66,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Bajaj Electricals Limited,Durables & Electricals,41,46,66,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
Bajaj Finance Limited,NBFC,59,65,71,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.75
Bajaj Finserv Limited,Holding company,55,52,65,58,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,43.0
Bajaj Hindusthan Sugar Limited,Sugar,29,40,57,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.5
Bajaj Holdings & Investment Limited,Holding company,37,45,71,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
Bajaj Housing Finance Limited,NBFC,50,44,65,55,Adequate,Mar-23,Social,Unknown,,0.0,39.75
Balaji Amines Limited,Chemicals - Speciality Chemicals,29,48,61,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.5
Balkrishna Industries Limited,Tyre,42,60,69,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Balrampur Chini Mills Limited,Sugar,33,41,70,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.0
Banco Products (I) Limited,Auto Ancillary,25,35,64,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.0
Kolkata,Banks,57,67,76,67,Strong,Mar-23,All sectors adequate,Unknown,,0.0,50.0
Bank of Baroda,Banks,59,66,61,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Bank of India,Banks,47,56,61,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Bank of Maharashtra,Banks,49,62,61,57,Adequate,Mar-23,Environment,Unknown,,0.0,43.0
Bannari Amman Sugars Limited,Sugar,28,39,61,44,Adequate,Mar-23,Environment/Social,Unknown,,0.0,32.0
Barbeque-Nation Hospitality Limited,Restaurants,33,53,68,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.5
BASF India Limited,Chemicals - Speciality Chemicals,46,57,64,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Bata India Limited,Consumer Retail,32,44,73,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.25
Bayer Cropscience Limited,Chemicals - Speciality Chemicals,42,58,69,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
BEML Limited,Industrials,31,42,62,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Bengal & Assam Company Limited,Holding company,31,41,65,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Berger Paints India Limited,Paints,45,46,67,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.5
BF Utilities Limited,"Power Renewable (Solar, Wind)",38,40,64,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Bhansali Engineering Polymers Limited,Chemicals - Speciality Chemicals,33,54,66,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Bharat Bijlee Limited,Other Electrical Equipment,46,55,68,CRISIL ESG 57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Bharat Dynamics Limited,Industrials,28,44,59,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.75
Bharat Electronics Limited,Industrials,31,49,62,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Bharat Forge Limited,Auto Ancillary,47,55,67,57,Adequate,Mar-22,Environment,Unknown,,0.0,42.25
Bharat Heavy Electricals Limited,Heavy Electrical Equipment,41,66,63,CRISIL ESG 56,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Bharat Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,38,57,62,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
Bharat Sanchar Nigam Limited,Telecom,28,35,61,43,Below Average,Mar-23,Environment/Social,Unknown,,0.0,31.0
Bharti Airtel Limited,Telecom,56,53,66,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.75
Bharti Telecom Limited,Holding company,60,61,52,57,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,43.25
Bikaji Foods International Limited,FMCG,45,54,64,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
Biocon Limited,Pharmaceuticals,46,65,71,61,Strong,Mar-22,Environment,Unknown,,0.0,45.5
Birla Corporation Limited,Cement,34,46,62,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.5
Birla Group Holdings Private Limited,Holding company,37,48,27,36,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,28.0
Birlasoft Limited,IT,47,47,69,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.75
Black Box Limited,IT,40,60,66,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Bliss GVS Pharma Limited,Pharmaceuticals,26,44,70,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Blue Dart Express Limited,Logistics,38,52,74,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
